Sl. No., Size, Duration, Bitrate, Width, Height, FPS,Total Time x1,Downscale Time x2,Upload Time x2,Upscale Time x2,Total Time x2,Speed Up x2,Downscale Time x4,Upload Time x4,Upscale Time x4,Total Time x4,Speed Up x4,QM x1,QM x2,QM x4,SSIM x1,SSIM x2,SSIM x4,PSNR x1,PSNR x2,PSNR x4
1,68.9, 1mn 10s, 8205Kbps,1280,720,30,218.985,7.621,51.772,64.977,124.37,1.760754201,8.126,25.872,61.865,95.863,2.284353713,68.252,64.156,62.299,100,90.193,80.151,100,33.698,30.112
2,41.6, 41s 967ms, 8323Kbps,1280,720,30,158.343,5.13,39.144,36.392,80.666,1.962945975,6.589,21.349,32.884,60.822,2.603383644,68.452,64.122,63.221,100,90.683,78.941,100,33.854,31.155
3,154, 2mn 35s, 8326Kbps,1280,720,30,493.911,17.352,123.591,146.285,287.228,1.719578175,21.995,59.193,122.952,204.14,2.419471931,69.748,65.994,62.747,100,91.849,80.428,100,33.285,30.859
4,238, 4mn 1s, 8271Kbps,1280,720,30,832.804,37.925,261.262,243.062,542.249,1.535833169,43.051,124.804,219.358,387.213,2.150764566,68.544,64.107,61.973,100,90.558,78.445,100,33.178,30.481
5,504, 8mn 25s, 8371Kbps,1280,720,30,1729.829,61.901,419.913,591.275,1073.089,1.612008883,69.1035,198.245,526.285,793.6335,2.179632034,67.014,63.148,61.926,100,91.193,80.825,100,34.018,30.715
6,49.4, 49s 400ms, 8394Kbps,1280,720,30,178.287,4.596,42.279,53.814,100.689,1.770670083,5.183,19.735,49.725,74.643,2.3885294,67.983,64.104,62.193,100,90.814,80.803,100,33.947,30.831
7,130, 2mn 10s, 8367Kbps,1280,720,30,341.843,9.152,78.489,122.874,210.515,1.623841531,11.283,36.723,111.934,159.94,2.137320245,68.228,65.14,63.102,100,90.194,81.921,100,33.606,30.194
8,359, 6mn 1s, 8335Kbps,1280,720,30,978.892,13.529,218.638,341.834,574.001,1.705383789,17.805,118.337,317.904,454.046,2.155931337,67.831,65.027,62.749,100,90.419,80.153,100,33.859,30.494
9,204, 3mn 24s, 8371Kbps,1280,720,30,664.197,11.893,146.744,204.571,363.208,1.828695954,14.822,76.843,191.913,283.578,2.342202145,68.206,64.802,63.174,100,91.407,80.047,100,34.185,30.514
10,32.6, 32s 700ms, 8359Kbps,1280,720,30,91.293,1.535,20.874,31.584,53.993,1.690830293,1.952,12.824,28.829,43.605,2.093636051,68.739,64.226,62.592,100,92.945,81.258,100,33.934,30.384
11,31.4, 31s 434ms, 8368Kbps,1280,720,30,90.523,1.519,22.483,31.892,55.894,1.619547715,1.893,11.824,27.934,41.651,2.173369187,68.386,63.829,62.441,100,91.042,80.524,100,33.249,30.421
